,n,G2_Re_D,G2_sd_D,G2_Re_L,G2_sd_L
0,500,0.93954176,0.3569868,0.8143525548399588,0.3322962420448618
1,1000,0.84259063,0.31606063,0.7570724024108566,0.30336643858746304
