,n,beta_Bias_D,beta_Sse_D,beta_Ese_D,beta_Cp_D,beta_Bias_L,beta_Sse_L,beta_Ese_L,beta_Cp_L
0,500,0.06841019954005922,0.1332889363875833,0.15306234889389692,0.945,-1.152278221352102,0.3242474272951189,0.5816518172654163,0.42
1,1000,-0.017083633152510158,0.08274348281704427,0.0829451485504755,0.955,-1.1923123278983279,0.2846876444155056,0.43493554187776784,0.125
