,n,beta_Bias_D,beta_Sse_D,beta_Ese_D,beta_Cp_D,beta_Bias_L,beta_Sse_L,beta_Ese_L,beta_Cp_L
0,500,-0.024666446126695662,0.1489943170135932,0.14812391517080467,0.955,-1.233316958717075,0.2506725523104975,0.6943581140174119,0.625
1,1000,-0.0006269129188536393,0.10726618112937006,0.10600625022021251,0.95,-1.2650547582669234,0.24472952563597605,0.5173307408743321,0.165
