,n,gamma_Bias_D,gamma_Sse_D,gamma_Ese_D,gamma_Cp_D,gamma_Bias_L,gamma_Sse_L,gamma_Ese_L,gamma_Cp_L
0,500,0.026736122662341044,0.11897591493188464,0.11787813034336722,0.94,-0.15009273408407087,0.2853547408200203,0.10771272916555505,0.365
1,1000,0.003465937853086576,0.07894805736194735,0.08104551560097846,0.945,-0.12668465705532295,0.3036679201928357,0.07408025185213418,0.245
