,gamma_L,sd_L
gamma1,0.2593162282169268,0.023765038874697712
gamma2,0.5066233185490198,0.032243178826458364
gamma3,-0.26795230354328653,0.026157325456834163
gamma4,0.08751951320920144,0.04306871472787336
gamma_age,-0.01211149575992845,0.033137289689977256
gamma_systolic,0.12438540421908578,0.08067238666174448
gamma_diastolic,-0.03494566018403386,0.07033681219250933
