,tot_delta1,tot_delta2,tot_delta3,train_delta1,train_delta2,train_delta3,test_delta1,test_delta2,test_delta3
rate,0.017207474,0.2699115,0.712881,0.017181817,0.2700909,0.71272725,0.017441861,0.26827243,0.71428573
number,210.0,3294.0,8700.0,189.0,2971.0,7840.0,21.0,323.0,860.0
