,gamma_deep,sd_deep
gamma1,0.2324454255020209,0.029346992846093926
gamma2,0.5404713963327548,0.027427669485326465
gamma3,-0.28930916458978084,0.027829003051876453
gamma4,0.06382757300804931,0.02592083848057944
