,n,gamma_Bias_D,gamma_Sse_D,gamma_Ese_D,gamma_Cp_D,gamma_Bias_L,gamma_Sse_L,gamma_Ese_L,gamma_Cp_L
0,500,-0.040802218830706116,0.0906969099525542,0.11054755581554725,0.965,-0.02251126722657293,0.12161374006301011,0.12625198598911164,0.935
1,1000,-0.02413795479155112,0.06465579080120838,0.06894360876304186,0.96,-0.011269871298676848,0.07320379194397718,0.0797131241802663,0.955
