,n,G1_Re_D,G1_sd_D,G1_Re_L,G1_sd_L
0,500,1.1122838,0.3953647,0.2711017648143093,0.11202397290540776
1,1000,1.0202595,0.35755652,0.21265991548685703,0.06681445614992554
