,n,beta_Bias_D,beta_Sse_D,beta_Ese_D,beta_Cp_D,beta_Bias_L,beta_Sse_L,beta_Ese_L,beta_Cp_L
0,500,0.06832326124554733,0.13319606923999525,0.14184100424228765,0.945,-1.1641344706986816,0.3326617185743782,0.7521048224860812,0.845
1,1000,-0.014770340403088333,0.08992109680505048,0.09270506030219842,0.955,-1.2234039642879146,0.27563345893923286,0.5518058281429483,0.245
