,n,beta_Bias_D,beta_Sse_D,beta_Ese_D,beta_Cp_D,beta_Bias_L,beta_Sse_L,beta_Ese_L,beta_Cp_L
0,500,0.05256763172367451,0.13313353635263164,0.14680380109008045,0.945,-1.1374075087432842,0.35946316736644846,0.4099126216711211,0.17
1,1000,-0.04420810933658692,0.08038942940697101,0.08631203948463725,0.94,-1.1649665670055742,0.33596709466192004,0.31196850005559035,0.065
