,n,gamma_Bias_D,gamma_Sse_D,gamma_Ese_D,gamma_Cp_D,gamma_Bias_L,gamma_Sse_L,gamma_Ese_L,gamma_Cp_L
0,500,-0.07284495679024294,0.09255848993745985,0.10039816275497905,0.945,-0.12715785881123054,0.29786400824269177,0.098322520511403,0.31
1,1000,-0.006136602639379984,0.05513043941314338,0.06453684519286622,0.96,-0.06766715193146011,0.33879976558269354,0.06894643197951209,0.26
