,n,gamma_Bias_D,gamma_Sse_D,gamma_Ese_D,gamma_Cp_D,gamma_Bias_A,gamma_Sse_A,gamma_Ese_A,gamma_Cp_A,gamma_Bias_L,gamma_Sse_L,gamma_Ese_L,gamma_Cp_L
0,500,-0.002344941341593243,0.0504426597272889,0.1990293687489201,1.0,0.017913455816648938,0.08444716922533907,0.112241739393277,1.0,0.005453719522451328,0.12802130599905515,0.16130658767131195,1.0
1,1000,-0.04940102713655281,0.022430569531820876,0.074926965246342,1.0,0.05905825648425056,0.045869553408841024,0.08819940713234288,1.0,0.0011112795074128545,0.07001432987928541,0.08345566577100406,1.0
