,n,G2_Re_D,G2_sd_D,G2_Re_A,G2_sd_A,G2_Re_L,G2_sd_L
0,500,0.55560684,0.054409295,0.6167241171439745,0.005842371002232727,0.1522072522277632,0.010254998839104745
1,1000,0.6198383,0.06575364,0.37473438147934446,0.0017239707514174474,0.2277720421568755,0.01776853165740519
