,n,gamma_Bias_D,gamma_Sse_D,gamma_Ese_D,gamma_Cp_D,gamma_Bias_L,gamma_Sse_L,gamma_Ese_L,gamma_Cp_L
0,500,0.001453498106190887,0.1289894468697832,0.13586297638639572,0.965,-0.141362115938782,0.3066360458853662,0.11233642422621298,0.32
1,1000,0.0023177985642477417,0.08332935951662411,0.08782830336849236,0.965,-0.13815748498026525,0.30916745326502304,0.07585654717075178,0.22
