,n,beta_Bias_D,beta_Sse_D,beta_Ese_D,beta_Cp_D,beta_Bias_L,beta_Sse_L,beta_Ese_L,beta_Cp_L
0,500,-0.02539850912241093,0.13773625129608208,0.13348452529431104,0.95,-1.266361149876668,0.2846842687059272,0.7694958371303215,0.875
1,1000,0.01135083798778913,0.08636955167455812,0.08595673229445282,0.945,-1.2475226470550063,0.3173151662034164,0.5322909145866447,0.18
