,n,G2_Re_D,G2_sd_D,G2_Re_L,G2_sd_L
0,500,0.56234944,0.2244391,0.29975819362033546,0.0979896726800427
1,1000,0.56244725,0.19533044,0.28644846812254005,0.15997767672830873
