,n,beta_Bias_D,beta_Sse_D,beta_Ese_D,beta_Cp_D,beta_Bias_L,beta_Sse_L,beta_Ese_L,beta_Cp_L
0,500,-0.0419124704382241,0.12797175906791766,0.13007664636396254,0.965,-1.2321223105109165,0.28743641241400464,0.396727883447916,0.07
1,1000,-0.02708515262387956,0.09446565090132283,0.09161112782835971,0.965,-1.2569624396090173,0.2642201259269791,0.579505194595488,0.27
