,n,G1_Re_D,G1_sd_D,G1_Re_L,G1_sd_L
0,500,1.0264703,0.35006696,0.8962375032536724,0.3168143603259649
1,1000,1.0124185,0.33354536,0.85753840446071,0.24539446046242602
