,n,G2_Re_D,G2_sd_D,G2_Re_L,G2_sd_L
0,500,0.62098277,0.22435,0.43821243475050503,0.15725908808347516
1,1000,0.56329346,0.20005123,0.3911830443048865,0.11052248295113053
